timestamp,A0,A1,A2,A3
2025-04-10 12:18:10,3.438,3.062,3.719,3.984
2025-04-10 12:18:11,3.188,3.375,3.391,4.312
2025-04-10 12:18:12,3.141,3.406,3.078,3.375
2025-04-10 12:18:13,3.812,3.062,3.656,4.297
2025-04-10 12:18:15,3.5,2.75,3.406,3.219
2025-04-10 12:18:16,3.531,2.734,3.766,3.359
2025-04-10 12:18:17,3.516,3.141,3.375,4.422
2025-04-10 12:18:18,3.75,3.344,3.047,4.625
2025-04-10 12:18:19,3.141,3.359,3.078,2.797
2025-04-10 12:18:22,3.203,2.406,3.703,3.391
2025-04-10 12:18:23,3.188,3.359,3.391,3.672
2025-04-10 12:18:24,3.5,2.406,3.688,3.312
2025-04-10 12:18:25,3.484,3.344,3.109,4.625
2025-04-10 12:18:26,2.859,3.281,2.625,3.312
2025-04-10 12:18:27,3.766,3.094,3.375,4.609
2025-04-10 12:18:29,3.156,3.359,3.031,4.938
2025-04-10 12:18:30,3.188,2.75,3.422,2.719
2025-04-10 12:18:31,3.766,2.109,3.703,3.688
2025-04-10 12:18:32,3.172,3.672,2.797,3.641
2025-04-10 12:18:33,3.234,2.438,3.344,3.094
2025-04-10 12:18:34,3.438,2.641,3.734,3.719
2025-04-10 12:18:35,3.484,3.094,3.688,4.359
2025-04-10 12:18:36,3.172,3.062,3.375,3.375
2025-04-10 12:18:38,3.484,3.406,3.062,4.922
2025-04-10 12:18:39,2.859,3.328,3.031,4.031
2025-04-10 12:18:40,3.797,3.062,3.344,4.25
2025-04-10 12:18:41,3.797,3.047,3.047,4.672
2025-04-10 12:18:42,3.484,2.609,3.672,2.781
2025-04-10 12:18:43,3.484,3.391,3.656,4.188
2025-04-10 12:18:44,3.172,3.359,2.734,3.688
2025-04-10 12:18:46,3.281,3.094,3.688,3.391
2025-04-10 12:18:47,2.859,2.984,3.391,3.453
2025-04-10 12:18:48,3.469,2.719,3.688,2.734
2025-04-10 12:18:49,3.141,2.453,4.016,3.062
2025-04-10 12:18:50,3.125,3.359,2.469,4.359
2025-04-10 12:18:51,3.188,3.344,3.078,3.703
2025-04-10 12:18:52,3.609,2.75,3.719,4.312
2025-04-10 12:18:54,3.562,3.109,3.047,4.938
2025-04-10 12:18:55,3.516,2.625,3.656,3.703
2025-04-10 12:18:56,3.484,2.75,3.359,2.422
2025-04-10 12:18:57,2.531,3.141,2.719,4.281
2025-04-10 12:18:58,2.391,2.75,3.672,2.953
2025-04-10 12:18:59,3.734,3.094,3.984,4.359
2025-04-10 12:19:00,3.172,2.719,3.672,3.078
2025-04-10 12:19:02,2.859,3.344,3.406,3.578
2025-04-10 12:19:03,2.828,3.359,2.969,3.656
2025-04-10 12:19:04,3.125,3.344,3.078,4.312
2025-04-10 12:19:05,3.453,3.062,3.047,4.094
2025-04-10 12:19:06,3.844,3.0,3.062,3.922
2025-04-10 12:19:07,3.5,2.0,3.688,2.953
2025-04-10 12:19:08,3.188,3.422,2.328,4.641
2025-04-10 12:19:10,3.438,3.047,3.094,4.344
2025-04-10 12:19:11,3.766,2.75,3.688,3.344
2025-04-10 12:19:12,3.109,3.078,2.438,4.625
2025-04-10 12:19:13,3.188,3.047,3.609,3.438
